plan,monthlyPrice,tenureMonths,outages,complaints,supportCalls,latePayments,competitorAvailable,monthlyContract,speedMbps,churn
Basic,699,20,10,3,8,2,1,1,100,1
Premium,1499,24,10,7,5,6,0,1,500,1
Basic,699,45,1,4,1,6,1,0,100,0
Plus,999,36,6,6,5,2,1,1,200,1
Premium,1499,16,9,6,4,1,1,1,500,1
Ultra,2499,53,5,8,1,1,1,1,1000,1
Ultra,2499,22,9,5,7,3,1,1,1000,1
Plus,999,8,3,8,7,5,0,1,200,1
Plus,999,27,7,7,5,0,0,0,200,1
Basic,699,16,10,5,1,2,0,1,100,1
Basic,699,3,6,1,1,0,1,1,100,1
Plus,999,54,2,3,2,1,0,0,200,0
Premium,1499,28,8,4,5,0,0,1,500,1
Plus,999,49,2,4,7,3,1,0,200,0
Basic,699,20,6,0,8,1,1,1,100,1
Basic,699,40,5,2,3,4,0,1,100,1
Ultra,2499,50,7,6,0,0,1,0,1000,1
Basic,699,47,10,4,3,1,0,0,100,1
Ultra,2499,60,10,3,2,4,0,0,1000,1
Premium,1499,35,5,0,1,6,0,1,500,1
Basic,699,18,8,0,6,3,1,1,100,1
Premium,1499,35,5,0,3,2,1,0,500,1
Plus,999,15,10,0,5,0,0,0,200,1
Premium,1499,1,0,1,7,5,0,1,500,0
Plus,999,30,2,5,4,6,0,0,200,1
Basic,699,15,6,4,8,2,0,1,100,1
Ultra,2499,37,10,8,5,1,1,0,1000,1
Ultra,2499,33,10,1,4,5,1,1,1000,1
Basic,699,49,1,5,4,0,0,1,100,1
Premium,1499,8,0,5,0,4,1,0,500,1
Premium,1499,1,9,4,0,5,1,1,500,1
Plus,999,4,5,3,8,0,0,1,200,1
Basic,699,37,9,1,8,0,1,1,100,1
Plus,999,55,1,7,1,5,0,1,200,1
Plus,999,7,10,5,0,3,0,0,200,1
Ultra,2499,21,7,5,7,5,0,1,1000,1
Ultra,2499,13,1,1,6,4,0,0,1000,0
Plus,999,28,3,4,8,6,0,1,200,0
Ultra,2499,46,3,1,5,5,0,1,1000,0
