plan,monthlyPrice,tenureMonths,outages,complaints,supportCalls,latePayments,competitorAvailable,monthlyContract,speedMbps,avgMonthlyUsageGb,recentPlanChange,contractRenewalDue,region,churn
Basic,699,2,4,3,3,1,0,0,100,214,False,True,North,1
Basic,699,36,3,6,3,3,1,0,100,225,False,True,West,1
Plus,999,14,5,1,1,3,0,1,200,163,False,False,North,1
Basic,699,60,6,1,8,2,1,0,100,290,False,True,South,1
Basic,699,55,3,1,6,2,1,1,100,147,True,False,East,1
Basic,699,39,2,3,2,3,1,1,100,147,False,False,South,1
Basic,699,15,0,5,6,2,0,0,100,196,False,False,East,1
Ultra,2499,26,7,2,4,1,0,1,1000,59,False,False,West,1
Plus,999,33,7,1,0,0,0,0,200,109,False,False,North,1
Ultra,2499,34,4,0,1,5,1,1,1000,116,True,False,West,1
Premium,1499,33,2,1,4,5,0,0,500,282,False,True,North,1
Ultra,2499,2,1,5,4,1,0,0,1000,184,False,False,North,1
Basic,699,49,8,2,2,5,1,0,100,141,False,False,West,0
Plus,999,46,4,6,5,3,1,0,200,99,False,True,North,1
Plus,999,38,3,0,1,5,0,0,200,137,True,True,East,1
Plus,999,18,7,3,8,1,1,0,200,137,False,False,South,1
Ultra,2499,23,6,6,7,5,0,0,1000,179,True,False,North,1
Plus,999,35,7,2,6,1,1,1,200,237,False,False,West,1
Basic,699,4,8,0,1,1,0,1,100,194,False,True,West,0
Plus,999,25,0,6,4,3,1,1,200,87,False,False,West,1
Premium,1499,14,0,0,5,0,0,1,500,231,False,False,South,1
Basic,699,55,2,1,1,5,0,1,100,171,True,False,South,1
Basic,699,40,1,6,8,2,1,0,100,76,False,False,East,1
Premium,1499,30,5,1,0,3,0,0,500,147,False,False,South,0
Basic,699,57,3,5,4,1,1,1,100,204,False,False,North,1
Premium,1499,60,1,2,4,0,0,0,500,202,False,False,East,1
Premium,1499,33,7,4,0,0,1,1,500,132,True,False,South,1
Premium,1499,11,7,6,8,0,0,0,500,252,False,False,South,1
Premium,1499,38,8,2,6,1,0,1,500,121,False,False,North,0
Plus,999,44,3,1,5,4,1,0,200,203,False,True,South,0
Plus,999,57,6,0,2,5,1,1,200,146,False,False,South,1
Basic,699,25,0,7,3,1,1,1,100,102,False,False,South,1
Plus,999,26,5,4,1,2,1,1,200,236,False,False,East,0
Basic,699,57,4,2,4,0,0,1,100,174,False,False,West,1
Basic,699,25,3,4,0,5,1,0,100,205,False,False,South,1
Basic,699,43,5,5,1,5,1,1,100,205,False,False,East,1
Plus,999,27,6,2,4,3,0,1,200,177,False,False,East,1
Ultra,2499,44,3,7,2,5,0,1,1000,20,False,False,East,1
Plus,999,44,4,3,3,1,0,0,200,186,False,False,North,1
Plus,999,46,6,7,6,1,0,0,200,186,False,False,North,1
Plus,999,12,8,7,0,4,0,0,200,164,False,False,East,0
Ultra,2499,40,8,6,8,3,0,1,1000,283,False,False,East,1
Ultra,2499,41,3,4,7,0,1,0,1000,123,False,False,North,1
Plus,999,25,2,3,1,3,1,1,200,244,False,False,South,0
Ultra,2499,58,0,6,7,0,1,1,1000,142,False,False,West,1
